7/6/60,56.94
7/7/60,57.24
7/8/60,57.38
7/11/60,56.87
7/12/60,56.25
7/13/60,56.10
7/14/60,56.12
7/15/60,56.05
7/18/60,55.70
7/19/60,55.70
7/20/60,55.61
7/21/60,55.10
7/22/60,54.72
7/25/60,54.18
7/26/60,54.51
7/27/60,54.17
7/28/60,54.57
7/29/60,55.51
8/1/60,55.53
8/2/60,55.04
8/3/60,54.72
8/4/60,54.89
8/5/60,55.44
8/8/60,55.52
8/9/60,55.84
8/10/60,56.07
8/11/60,56.28
8/12/60,56.66
8/15/60,56.61
8/16/60,56.72
8/17/60,56.84
8/18/60,56.81
8/19/60,57.01
8/22/60,57.19
8/23/60,57.75
8/24/60,58.07
8/25/60,57.79
8/26/60,57.60
8/29/60,57.44
8/30/60,56.84
8/31/60,56.96
9/1/60,57.09
9/2/60,57.00
9/6/60,56.49
9/7/60,55.79
9/8/60,55.74
9/9/60,56.11
9/12/60,55.77
9/13/60,55.83
9/14/60,55.44
9/15/60,55.22
9/16/60,55.11
9/19/60,53.86
9/20/60,54.01
9/21/60,54.57
9/22/60,54.36
9/23/60,53.90
9/26/60,53.06
9/27/60,52.94
9/28/60,52.48
9/29/60,52.62
9/30/60,53.52
10/3/60,53.36
10/4/60,52.99
10/5/60,53.39
10/6/60,53.72
10/7/60,54.03
10/10/60,54.14
10/11/60,54.22
10/12/60,54.15
10/13/60,54.57
10/14/60,54.86
10/17/60,54.63
10/18/60,54.35
10/19/60,54.25
10/20/60,53.86
10/21/60,53.32
10/24/60,52.70
10/25/60,52.30
10/26/60,53.05
10/27/60,53.62
10/28/60,53.41
10/31/60,53.39
11/1/60,53.94
11/2/60,54.22
11/3/60,54.43
11/4/60,54.90
11/7/60,55.11
11/9/60,55.35
11/10/60,56.13
11/11/60,55.87
11/14/60,55.59
11/15/60,55.81
11/16/60,55.70
11/17/60,55.55
11/18/60,55.82
11/21/60,55.93
11/22/60,55.72
11/23/60,55.80
11/24/60,56.13
11/28/60,56.03
11/29/60,55.83
11/30/60,55.54
12/1/60,55.30
12/2/60,55.39
12/5/60,55.31
12/6/60,55.47
12/7/60,56.02
12/8/60,56.15
12/9/60,56.65
12/12/60,56.85
12/13/60,56.88
12/14/60,56.84
12/15/60,56.68
12/16/60,57.20
12/19/60,57.13
12/20/60,57.09
12/21/60,57.55
12/22/60,57.39
12/23/60,57.44
12/27/60,57.52
12/28/60,57.78
12/29/60,58.05
12/30/60,58.11
1/3/61,57.57
1/4/61,58.36
1/5/61,58.57
1/6/61,58.48
1/9/61,58.81
1/10/61,58.97
1/11/61,59.14
1/12/61,59.32
1/13/61,59.60
1/16/61,59.58
1/17/61,59.34
1/18/61,59.68
1/19/61,59.77
1/20/61,59.96
1/23/61,60.29
1/24/61,60.45
1/25/61,60.53
1/26/61,60.62
1/27/61,61.24
1/30/61,61.97
1/31/61,61.78
2/1/61,61.90
2/2/61,62.30
2/3/61,62.22
2/6/61,61.76
2/7/61,61.65
2/8/61,62.21
2/9/61,62.02
2/10/61,61.50
